stop_id,stop_city
14001795,Hamilton
14005597,Taupo
14003803,Horotiu
14001237,Matamata
14007570,Tuakau
14002991,Hamilton
14007775,Ohinewai
14003883,Hamilton
14002427,Thames
14005882,Hamilton
14005793,Hamilton
14002283,Hamilton
14006020,Waitetuna
14007263,Hamilton
14004410,Hamilton
14003675,Hamilton
14004022,Raglan
14006273,Tamahere
14003763,Hamilton
14008952,Tuakau
14007385,Huntly
14005355,Hamilton
14006552,Hamilton
14006231,Thames
14003554,Hamilton
14002365,Hamilton
14003495,Pokeno
14001278,Hamilton
14006797,Waitetuna
14008967,Hamilton
14001275,Hamilton
14006783,Hamilton
14001683,Hamilton
14007557,Mangakino
14007802,Springfield
14001271,Hamilton
14008107,Hamilton
14006750,Hamilton
14001585,Cambridge
14005666,Hamilton
14006563,Hamilton
14007187,Hamilton
14007578,Hamilton
14002875,Matamata
14003727,Hamilton
14005751,Lichfield
14007039,Huntly
14006725,Hamilton
14006377,Cambridge
14001069,Taupo
14002962,Wharewaka
14003919,Taupo
14007853,Hamilton
14005460,Taupo
14003676,Hamilton
14002221,Mangakino
14004965,Hamilton
14004918,Franklin
14002469,Hamilton
14001513,Hamilton
14001124,Hamilton
14001994,Hamilton
14001697,Hamilton
14007880,Hamilton
14007289,Hamilton
14008986,Hamilton
14007725,Hamilton
14007091,Hamilton
14008480,Hamilton
14001948,Hamilton
14001754,Hamilton
14001646,Hamilton
14001321,Huntly
14004008,Springfield
14006786,Hamilton
14003843,Hamilton
14002357,Springfield
14007612,Thames
14007483,Hamilton
14005722,Thames
14006774,Hamilton
14002179,Tokoroa
14006913,Hamilton
14006905,Hamilton
14001726,Springfield
14008979,Taupo
14002431,Hamilton
14005888,Hamilton
14008879,Tuakau
14002513,Hamilton
14005365,Morrinsville
14006942,Horotiu
14004346,Hamilton
14007839,Hamilton
14003724,Hamilton
14005843,Hamilton
14001755,Taupo
14001731,Hamilton
14006174,Hamilton
14001482,Hamilton
14006677,Springfield
14002087,Springfield
14005920,Springfield
14002516,Hamilton
14008404,Hamilton
14007485,Springfield
14005609,Hamilton
14001139,Hamilton
14002278,Raglan
14005603,Hamilton
14002089,Raglan
14006154,Hamilton
14006833,Franklin
14008423,Hamilton
14003575,Hamilton
14002124,Hamilton
14003693,Te Awamutu
14005472,Huntly
14001511,Hamilton
14006631,Hamilton
14001720,Hamilton
14004882,Hamilton
14002695,Hamilton
14001161,Hamilton
14008893,Hamilton
14006863,Hamilton
14001704,Hamilton
14006979,Huntly
14004287,Hamilton
14001100,Hamilton
14002508,Hamilton
14002505,Hamilton
14003641,Taupo
14006805,Cambridge
14002122,Tuakau
14007566,Hamilton
14003293,Hamilton City
14008123,Hamilton
