Date Modified,Vehicle Number,Operator,Operator Short Code,Operator Prefix,Unit Number,Mode,Date of First Registration,Date of Manufacture,Bike Rack Capable,Bus Size,Engine Rating,"Max no. of passengers (Seated, Adult)","Max no. of passengers (Standing, Adult)",No. of Wheelchair Spaces,TARE Weight (KG),Vehicle Registration Number,source_filename
23/07/2018,3102,Tranzurban,TGL,TZM,Unit_15,Bus,6/04/2018,9/04/2018,Yes,MV,EURO6,33,22,1,7560,LHG28,2018-07-23_fleet-list.csv
23/07/2018,3103,Tranzurban,TGL,TZM,Unit_15,Bus,6/04/2018,9/04/2018,Yes,MV,EURO6,33,22,1,7560,LHG21,2018-07-23_fleet-list.csv
23/07/2018,3104,Tranzurban,TGL,TZM,Unit_15,Bus,6/04/2018,9/04/2018,Yes,MV,EURO6,33,22,1,7560,LHG29,2018-07-23_fleet-list.csv
23/07/2018,3105,Tranzurban,TGL,TZM,Unit_15,Bus,6/04/2018,9/04/2018,Yes,MV,EURO6,33,22,1,7560,LHG30,2018-07-23_fleet-list.csv
23/07/2018,3106,Tranzurban,TGL,TZM,Unit_11,Bus,4/04/2018,5/04/2018,Yes,MV,EURO6,33,22,1,7560,LHG36,2018-07-23_fleet-list.csv
23/07/2018,3107,Tranzurban,TGL,TZM,Unit_11,Bus,5/04/2018,5/04/2018,Yes,MV,EURO6,33,22,1,7560,LHG31,2018-07-23_fleet-list.csv
23/07/2018,3108,Tranzurban,TGL,TZM,Unit_11,Bus,5/04/2018,5/04/2018,Yes,MV,EURO6,33,22,,7560,LHG32,2018-07-23_fleet-list.csv
23/07/2018,3109,Tranzurban,TGL,TZM,Unit_11,Bus,5/04/2018,5/04/2018,Yes,MV,EURO6,33,22,,7560,LHG33,2018-07-23_fleet-list.csv
23/07/2018,3110,Tranzurban,TGL,TZM,Unit_11,Bus,5/04/2018,5/04/2018,Yes,MV,EURO6,33,22,,7560,LHG34,2018-07-23_fleet-list.csv
23/07/2018,3111,Tranzurban,TGL,TZM,Unit_11,Bus,5/04/2018,5/04/2018,Yes,MV,EURO6,33,22,,7560,LHG35,2018-07-23_fleet-list.csv
23/07/2018,3112,Tranzurban,TGL,TZM,Unit_11,Bus,5/04/2018,5/04/2018,Yes,MV,EURO6,33,22,,7560,LHG27,2018-07-23_fleet-list.csv
23/07/2018,3113,Tranzurban,TGL,TZM,Unit_11,Bus,27/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB885,2018-07-23_fleet-list.csv
23/07/2018,3114,Tranzurban,TGL,TZM,Unit_11,Bus,29/04/2018,26/04/2018,Yes,MV,EURO6,33,22,,7560,LJB888,2018-07-23_fleet-list.csv
23/07/2018,3115,Tranzurban,TGL,TZM,Unit_11,Bus,26/04/2018,29/04/2018,Yes,MV,EURO6,33,22,,7560,LJB891,2018-07-23_fleet-list.csv
23/07/2018,3116,Tranzurban,TGL,TZM,Unit_11,Bus,23/04/2018,23/04/2018,Yes,MV,EURO6,33,22,,7560,LJB867,2018-07-23_fleet-list.csv
